Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,24,5,Some Random Commen with Id 0
1,0,8,79,4,Some Random Commen with Id 1
2,0,8,128,3,Some Random Commen with Id 2
3,0,8,157,8,Some Random Commen with Id 3
4,1,5,85,3,Some Random Commen with Id 4
5,1,5,90,6,Some Random Commen with Id 5
6,1,5,188,0,Some Random Commen with Id 6
7,1,5,192,1,Some Random Commen with Id 7
8,2,3,17,3,Some Random Commen with Id 8
9,2,3,65,9,Some Random Commen with Id 9
10,2,3,120,2,Some Random Commen with Id 10
11,2,3,180,7,Some Random Commen with Id 11
12,2,3,37,7,Some Random Commen with Id 12
13,3,3,182,0,Some Random Commen with Id 13
14,3,3,152,2,Some Random Commen with Id 14
15,3,3,12,4,Some Random Commen with Id 15
16,3,3,123,1,Some Random Commen with Id 16
17,3,3,190,0,Some Random Commen with Id 17
18,3,3,174,2,Some Random Commen with Id 18
19,3,3,4,5,Some Random Commen with Id 19
20,3,3,119,5,Some Random Commen with Id 20
21,4,4,175,2,Some Random Commen with Id 21
22,4,4,52,0,Some Random Commen with Id 22
23,4,4,64,9,Some Random Commen with Id 23
24,4,4,48,0,Some Random Commen with Id 24
25,4,4,128,1,Some Random Commen with Id 25
26,4,4,174,7,Some Random Commen with Id 26
27,4,4,175,1,Some Random Commen with Id 27
28,4,4,85,7,Some Random Commen with Id 28
29,5,9,39,2,Some Random Commen with Id 29
30,5,9,141,6,Some Random Commen with Id 30
31,5,9,45,0,Some Random Commen with Id 31
32,5,9,36,9,Some Random Commen with Id 32
33,5,9,5,6,Some Random Commen with Id 33
34,6,4,79,2,Some Random Commen with Id 34
35,7,5,135,7,Some Random Commen with Id 35
36,7,5,54,8,Some Random Commen with Id 36
37,7,5,189,1,Some Random Commen with Id 37
38,7,5,1,5,Some Random Commen with Id 38
39,7,5,57,0,Some Random Commen with Id 39
40,7,5,119,2,Some Random Commen with Id 40
41,7,5,129,1,Some Random Commen with Id 41
42,10,7,81,1,Some Random Commen with Id 42
43,10,7,34,2,Some Random Commen with Id 43
44,10,7,161,0,Some Random Commen with Id 44
45,10,7,153,0,Some Random Commen with Id 45
46,10,7,60,6,Some Random Commen with Id 46
47,10,7,21,5,Some Random Commen with Id 47
48,11,9,164,1,Some Random Commen with Id 48
49,12,6,148,8,Some Random Commen with Id 49
50,12,6,144,1,Some Random Commen with Id 50
51,12,6,138,9,Some Random Commen with Id 51
52,13,2,123,7,Some Random Commen with Id 52
53,13,2,120,2,Some Random Commen with Id 53
54,13,2,4,8,Some Random Commen with Id 54
55,13,2,129,5,Some Random Commen with Id 55
56,13,2,180,6,Some Random Commen with Id 56
57,13,2,125,0,Some Random Commen with Id 57
58,13,2,62,9,Some Random Commen with Id 58
59,13,2,13,0,Some Random Commen with Id 59
60,14,5,23,8,Some Random Commen with Id 60
61,15,3,77,4,Some Random Commen with Id 61
62,15,3,6,6,Some Random Commen with Id 62
63,16,5,115,4,Some Random Commen with Id 63
64,16,5,92,9,Some Random Commen with Id 64
65,16,5,192,3,Some Random Commen with Id 65
66,16,5,46,4,Some Random Commen with Id 66
67,16,5,104,0,Some Random Commen with Id 67
68,17,5,46,8,Some Random Commen with Id 68
69,17,5,84,8,Some Random Commen with Id 69
70,17,5,164,5,Some Random Commen with Id 70
71,17,5,14,8,Some Random Commen with Id 71
72,17,5,103,0,Some Random Commen with Id 72
73,17,5,52,3,Some Random Commen with Id 73
74,17,5,94,2,Some Random Commen with Id 74
75,17,5,176,4,Some Random Commen with Id 75
76,18,9,127,1,Some Random Commen with Id 76
77,18,9,39,9,Some Random Commen with Id 77
78,18,9,106,7,Some Random Commen with Id 78
79,18,9,159,9,Some Random Commen with Id 79
80,18,9,170,4,Some Random Commen with Id 80
81,18,9,168,9,Some Random Commen with Id 81
82,20,6,146,9,Some Random Commen with Id 82
83,20,6,71,5,Some Random Commen with Id 83
84,20,6,114,4,Some Random Commen with Id 84
85,20,6,30,7,Some Random Commen with Id 85
86,20,6,113,5,Some Random Commen with Id 86
87,20,6,146,3,Some Random Commen with Id 87
88,20,6,160,9,Some Random Commen with Id 88
89,20,6,35,5,Some Random Commen with Id 89
90,21,5,161,4,Some Random Commen with Id 90
91,21,5,30,7,Some Random Commen with Id 91
